feature,deceptive_frequency,truthful_frequency,mean,std,deceptive_z_score,truthful_z_score,deceptive_test_frequency,deceptive_test_z_score,truthful_test_frequency,truthful_test_z_score
the,0.06602763002364066,0.06468933776527742,0.06535848389445904,0.0009463155310981049,0.7071067811865476,-0.7071067811865476,0.06241075678248453,-3.114951636220074,0.06954772644154578,4.426898227302192
to,0.032579787234042555,0.02931292690944954,0.030946357071746047,0.002310019088709007,0.7071067811865475,-0.7071067811865475,0.030283198476915754,-0.2870792705011414,0.028282335730830183,-1.1532464618743463
and,0.028424202127659573,0.02907550133323593,0.02874985173044775,0.0004605380848444523,-0.7071067811865476,0.7071067811865476,0.031711089957163256,6.429952970590195,0.029013775448006828,0.5730768556268656
i,0.03291223404255319,0.0219892610585528,0.027450747550552997,0.0077237082677041324,0.7071067811865472,-0.7071067811865477,0.03510233222275107,0.9906620507913746,0.020297452151651834,-0.9261477972714103
a,0.024176270685579197,0.026737772582825,0.025457021634202097,0.001811255361564714,-0.7071067811865466,0.7071067811865486,0.026237505949547834,0.4309079392711856,0.026148969889064975,0.3820268911530596
was,0.02755614657210402,0.021295247835774557,0.02442569720393929,0.00442712395278085,0.7071067811865476,-0.7071067811865476,0.026713469776297002,0.5167627102287647,0.022247958064122882,-0.49190832762847836
in,0.017287234042553192,0.015523979983197574,0.016405607012875384,0.0012468089023250648,0.7071067811865468,-0.7071067811865482,0.01386244645406949,-2.0397356435804843,0.017371693282945265,0.7748471062953683
of,0.014664598108747045,0.013094933703473718,0.013879765906110382,0.0011099203451559187,0.7071067811865476,-0.7071067811865476,0.012196573060447406,-1.5164987766996243,0.012434475192002926,-1.3021571506596943
we,0.012910017730496454,0.013058406691748549,0.012984212211122502,0.00010492684075458393,-0.7071067811865475,0.7071067811865475,0.013029509757258449,0.43170599448328495,0.013287821528709009,2.893533393391943
room,0.014055112293144208,0.01150600869342879,0.012780560493286498,0.001802488441305811,0.707106781186548,-0.707106781186547,0.012791527843883864,0.006084560847125713,0.012983054979885408,0.11234162836140729
for,0.011894208037825059,0.013295832267962158,0.01259502015289361,0.000991097997805317,-0.7071067811865485,0.7071067811865467,0.012077582103760115,-0.522085656796106,0.012190661952944045,-0.40799012897309184
hotel,0.012817671394799054,0.010665887423749862,0.011741779409274459,0.001521541037577401,0.707106781186547,-0.7071067811865481,0.014933365064255117,2.0976007719530876,0.011642082165061563,-0.06552386150007085
it,0.0119496158392435,0.010629360412024693,0.011289488125634097,0.0009335615654847605,0.7071067811865466,-0.7071067811865483,0.012196573060447406,0.9716391166364018,0.011946848713885164,0.7041427288298081
that,0.010564420803782506,0.010355407824085911,0.01045991431393421,0.00014779449529946808,0.7071067811865417,-0.7071067811865535,0.010768681580199904,2.0891662144794796,0.009935389491649396,-3.549014604515525
not,0.010859929078014184,0.009697921613032838,0.01027892534552351,0.0008216633582776998,0.7071067811865486,-0.7071067811865465,0.0101142313184198,-0.20043978527766815,0.010118249420943557,-0.19554957996027517
my,0.012097369976359337,0.007652408956423275,0.009874889466391305,0.0031430620793066622,0.7071067811865478,-0.7071067811865472,0.013089005235602094,1.0226065181378157,0.0066439107643545044,-1.027971646920042
at,0.010490543735224586,0.008675165284728056,0.00958285450997632,0.0012836664127660235,0.7071067811865482,-0.7071067811865469,0.010947168015230843,1.0628255843468883,0.009508716323296355,-0.05775502571592005
had,0.008699024822695035,0.006940132227782445,0.00781957852523874,0.0012437248812414959,0.7071067811865471,-0.7071067811865478,0.00969776297001428,1.5101285445867423,0.008533463367060831,0.5739893545504094
on,0.006611997635933806,0.008090733097125324,0.007351365366529566,0.0010456238721895392,-0.707106781186548,0.7071067811865472,0.006901475487862923,-0.4302597622647736,0.007802023649884189,0.4309946390291794
they,0.006390366430260047,0.00810899660298791,0.007249681516623979,0.0012152550494876793,-0.7071067811865479,0.7071067811865471,0.006187529747739172,-0.8740155157821262,0.006461050835060344,-0.6489425260122157
were,0.007166075650118203,0.006976659239507616,0.007071367444812909,0.00013393762841076203,0.7071067811865507,-0.7071067811865442,0.007912898619704902,6.283007881184604,0.007436303791295867,2.724673796401455
this,0.006020981087470449,0.007524564415385178,0.006772772751427814,0.0010631939672475408,-0.707106781186548,0.7071067811865472,0.007436934792955735,0.6246856754156939,0.008045836888943069,1.197395937837231
with,0.006593528368794326,0.006794024180881762,0.006693776274838044,0.00014177194832652954,-0.7071067811865475,0.7071067811865475,0.007139457401237506,3.14364817342404,0.006948677313178105,1.7979652628669
but,0.006944444444444444,0.006428754063630054,0.006686599254037249,0.00036464816526652797,0.7071067811865476,-0.7071067811865476,0.0077939076630176105,3.0366487876636086,0.007070583932707546,1.0530278642417827
is,0.004894355791962175,0.008419476202651861,0.006656915997307018,0.0024926365468977843,-0.7071067811865474,0.7071067811865477,0.005652070442646359,-0.403125580386455,0.010423015969767158,1.510890136448993
our,0.006334958628841607,0.005351207217737517,0.005843082923289562,0.0006956172937935376,0.7071067811865468,-0.7071067811865481,0.006187529747739172,0.49516713791167283,0.005790564427648422,-0.07549912302313802
there,0.00581781914893617,0.004766775030134784,0.005292297089535478,0.0007432004237306989,0.707106781186547,-0.7071067811865481,0.00577106139933365,0.6441927298626711,0.004876264781177618,-0.5597848104949548
have,0.004635786052009456,0.005807794864302151,0.005221790458155804,0.0008287353787825564,-0.7071067811865476,0.7071067811865476,0.004283674440742504,-1.1319849995923041,0.005241984639765939,0.024367466536545382
be,0.006039450354609929,0.004200606348394638,0.0051200283515022834,0.0013002590663390705,0.7071067811865475,-0.7071067811865475,0.0067824845311756305,1.2785576526330682,0.003596245276118493,-1.1719072874254668
when,0.005688534278959811,0.004419768418745662,0.005054151348852736,0.0008971529434954079,0.707106781186548,-0.707106781186547,0.006009043312708234,1.0643580570946263,0.003840058515177374,-1.3532729758931863
